problem_id,title,slug,topic,subtopic,difficulty,pattern,source_url,time_complexity,space_complexity,visible_test_count,hidden_test_count,hint_count,relationship_count,rag_chunk_count,learning_objectives_count,common_mistakes_count
3sum,3Sum,3sum,Two Pointers,Fixed Index + Two Pointers,Medium,Fixed Index + Two Pointers,premium-phase3f-internal,O(n^2),O(1) extra,6,20,3,3,14,2,3
balanced-binary-tree,Balanced Binary Tree,balanced-binary-tree,Trees,Bottom-Up Validation,Easy,Bottom-Up Validation,premium-phase3f-internal,O(n),O(h),5,20,3,2,12,2,3
binary-search,Binary Search,binary-search,Binary Search,Classic Midpoint Partition,Easy,Classic Midpoint Partition,premium-phase3f-internal,O(log n),O(1),6,20,3,2,14,2,3
binary-tree-level-order-traversal,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,Trees,Queue by Level,Medium,Queue by Level,premium-phase3f-internal,O(n),O(n),5,20,3,1,12,2,3
car-fleet,Car Fleet,car-fleet,Stack,Monotonic Times,Medium,Monotonic Times,premium-phase3f-internal,O(n log n),O(n),6,20,3,1,14,2,3
climbing-stairs,Climbing Stairs,climbing-stairs,Dynamic Programming,Fibonacci DP,Easy,Fibonacci DP,premium-phase3f-internal,O(n),O(1),5,20,3,5,12,2,3
clone-graph,Clone Graph,clone-graph,Graphs,DFS/BFS + Hash Map,Medium,DFS/BFS + Hash Map,premium-phase3f-internal,O(V + E),O(V),5,20,3,5,12,2,3
coin-change,Coin Change,coin-change,Dynamic Programming,Minimization DP,Hard,Minimization DP,premium-phase3f-internal,O(len(coins)*amount),O(amount),5,20,3,7,12,2,3
combination-sum,Combination Sum,combination-sum,Backtracking,Bounded DFS with Pruning,Medium,Bounded DFS with Pruning,premium-phase3f-internal,O(number of valid states),O(target),5,20,3,1,12,2,3
container-with-most-water,Container With Most Water,container-with-most-water,Two Pointers,Shrink from Boundaries,Medium,Shrink from Boundaries,premium-phase3f-internal,O(n),O(1),6,20,3,3,14,2,3
contains-duplicate,Contains Duplicate,contains-duplicate,Arrays & Hashing,Membership Test,Easy,Membership Test,premium-phase3f-internal,O(n),O(n),6,20,3,4,14,2,3
counting-bits,Counting Bits,counting-bits,Bit Manipulation,Lowbit Recurrence,Easy,Lowbit Recurrence,premium-phase3f-internal,O(n),O(n),5,20,3,3,12,2,3
course-schedule,Course Schedule,course-schedule,Graphs,Topological Feasibility,Medium,Topological Feasibility,premium-phase3f-internal,O(V + E),O(V + E),5,20,3,3,12,2,3
course-schedule-ii,Course Schedule II,course-schedule-ii,Graphs,Kahn / DFS Postorder,Hard,Kahn / DFS Postorder,premium-phase3f-internal,O(V + E),O(V + E),5,20,3,5,12,2,3
daily-temperatures,Daily Temperatures,daily-temperatures,Stack,Next Greater Element,Medium,Next Greater Element,premium-phase3f-internal,O(n),O(n),6,20,3,2,14,2,3
diameter-of-binary-tree,Diameter of Binary Tree,diameter-of-binary-tree,Trees,DFS with Global Best,Medium,DFS with Global Best,premium-phase3f-internal,O(n),O(h),5,20,3,3,12,2,3
evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,Stack,Operator Reduction,Medium,Operator Reduction,premium-phase3f-internal,O(n),O(n),6,20,3,1,14,2,3
find-median-from-data-stream,Find Median from Data Stream,find-median-from-data-stream,Heap,Two Heaps,Hard,Two Heaps,premium-phase3f-internal,O(log n) per add,O(n),5,20,3,4,12,2,3
find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,Binary Search,Pivot Side Detection,Medium,Pivot Side Detection,premium-phase3f-internal,O(log n),O(1),5,20,3,3,12,2,3
gas-station,Gas Station,gas-station,Greedy,Reset on Deficit,Medium,Reset on Deficit,premium-phase3f-internal,O(n),O(1),5,20,3,1,12,2,3
graph-valid-tree,Graph Valid Tree,graph-valid-tree,Graphs,Union Find / DFS Cycle Check,Medium,Union Find / DFS Cycle Check,premium-phase3f-internal,O(n + e),O(n),5,20,3,2,12,2,3
group-anagrams,Group Anagrams,group-anagrams,Arrays & Hashing,Canonical Representation,Medium,Canonical Representation,premium-phase3f-internal,O(n * k log k),O(n * k),6,20,3,3,14,2,3
happy-number,Happy Number,happy-number,Math,Fast-Slow on Function Iterates,Easy,Fast-Slow on Function Iterates,premium-phase3f-internal,O(log n),O(log n),5,20,3,1,12,2,3
house-robber,House Robber,house-robber,Dynamic Programming,Take/Skip State,Medium,Take/Skip State,premium-phase3f-internal,O(n),O(1),5,20,3,4,12,2,3
house-robber-ii,House Robber II,house-robber-ii,Dynamic Programming,Case Split DP,Medium,Case Split DP,premium-phase3f-internal,O(n),O(1),5,20,3,3,12,2,3
insert-interval,Insert Interval,insert-interval,Intervals,Three-Region Scan,Medium,Three-Region Scan,premium-phase3f-internal,O(n),O(n),5,20,3,3,12,2,3
invert-binary-tree,Invert Binary Tree,invert-binary-tree,Trees,DFS Swap,Easy,DFS Swap,premium-phase3f-internal,O(n),O(h),5,20,3,3,12,2,3
jump-game,Jump Game,jump-game,Greedy,Farthest Reach Tracking,Medium,Farthest Reach Tracking,premium-phase3f-internal,O(n),O(1),5,20,3,4,12,2,3
